tag,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
0,15.833900,13.262743,46.785929,17.549677,14.670857,45.543159,18.978722,15.927713,44.328113,19.747560,16.649983,43.600608,21.070689,18.154371,42.154518,22.084593,19.196581,40.978152,23.080203,20.230525,39.738882,24.209766,21.377237,38.251967,25.984266,22.762234,35.969277,27.372281,24.398725,33.682270
0,3.923693,23.983808,36.670831,6.982323,33.319171,30.524474,8.950375,38.955339,26.174921,9.912538,42.100310,23.288766,10.526478,43.845493,21.512761,11.255538,45.402364,19.735589,11.786952,46.367400,18.430978,11.950726,46.555690,18.146190,12.055717,46.578836,18.108266,12.055717,46.578836,18.108266
0,26.360916,22.778287,35.628381,26.812923,23.121822,35.018011,27.558205,23.543711,34.076616,27.996990,23.871006,33.457809,28.437152,24.054390,32.921494,28.945200,24.282949,32.279880,29.366560,24.588958,31.655867,29.643151,24.788945,31.239247,30.051222,25.082692,30.613738,30.366283,25.458034,30.005951
0,20.382729,6.117841,39.394391,23.169162,7.279439,37.851369,26.393179,8.631469,35.816974,30.030377,9.646396,32.926494,33.495033,10.869829,30.168034,36.699046,11.816889,27.344499,41.576301,12.808600,22.476905,44.608959,12.991804,18.912640,46.421801,13.349703,16.335241,47.775443,13.739508,13.590177
0,2.193415,21.100039,36.876112,2.965661,23.734412,35.483371,3.945136,26.388977,34.215120,5.046990,29.055709,32.894379,6.135169,31.506129,31.578616,7.286444,33.911820,30.178914,9.430230,37.565982,27.876611,11.230749,40.333664,25.675741,12.946321,42.685562,23.283663,14.486256,44.391769,20.934410
0,12.669921,16.395642,47.362080,14.328150,17.605129,46.294908,15.998953,18.508435,45.166888,19.404015,19.591475,42.726351,23.669454,20.192769,39.278109,28.105969,20.723475,35.117781,32.333499,20.763722,30.942497,35.418668,20.499061,27.790978,37.159840,20.456412,25.843537,37.727956,20.340544,25.239946
0,12.291192,16.307859,47.485130,14.340120,18.307209,45.925743,18.283527,21.546846,42.294844,22.986732,24.584426,37.222125,27.380736,27.128678,31.604068,30.849727,28.666015,26.612108,33.620634,29.714135,21.551609,35.080374,30.448029,16.228350,34.936878,30.684957,12.900086,34.222621,30.888836,10.951603
0,20.510473,10.087192,42.390406,24.754935,13.356241,39.504730,28.646683,16.353928,35.874341,32.739899,19.005514,31.241335,36.720691,20.756318,26.186956,39.097110,21.602563,22.672727,41.211542,21.583668,19.481429,42.535221,21.431781,17.016395,43.178224,21.612232,14.428581,43.491132,21.349514,11.732397
0,3.176249,24.559900,34.964328,3.462310,25.594270,34.333030,3.865781,27.267418,33.192096,4.544759,29.241655,32.077619,5.061214,30.806347,31.113288,5.442358,31.843053,30.495491,5.744789,32.669998,29.984524,6.007153,33.390871,29.526044,6.267030,34.108390,29.057590,6.450938,34.618390,28.717213
0,11.397481,47.928142,15.787398,11.656513,48.374919,14.785786,11.808800,48.759734,13.668700,11.895247,48.954190,12.877195,12.049765,49.053173,12.128190,12.181714,49.079005,11.461508,12.203162,49.083205,10.996898,12.306726,49.027562,10.491883,12.313346,48.977228,10.033926,12.313649,48.916205,9.655194
0,0.924015,20.620377,34.818503,1.696558,22.815370,34.159658,2.384096,24.744609,33.440593,2.682981,25.878756,32.780982,2.887575,26.918198,32.044377,3.049036,27.856949,31.335203,3.288508,29.214908,30.313062,3.340505,30.048846,29.535717,3.451651,31.087976,28.641180,3.543886,31.915725,27.935076
0,21.326286,3.092440,34.171252,23.494708,4.047947,33.568633,25.038583,4.540184,32.760010,26.096453,4.787068,32.057258,27.250256,5.116940,31.361495,28.973259,5.428477,30.067197,30.045885,5.637934,29.276045,31.001313,5.866283,28.616339,31.943269,6.150009,28.024501,32.373715,6.210437,27.673210
0,45.844496,13.306680,17.220189,46.998011,13.578883,15.303595,47.713352,13.727914,13.751639,48.274819,13.720510,12.036650,48.542945,13.621593,10.300065,48.554002,13.475271,9.216443,48.501147,13.438838,8.775963,48.386160,13.484461,8.374204,48.246746,13.522766,7.976005,48.036350,13.532565,7.440357
1,33.242113,31.263988,9.659897,32.777139,32.962296,14.101797,31.119435,33.309625,19.790059,28.549957,32.130742,25.439939,26.371179,30.911048,29.069763,24.551291,29.071303,32.409122,22.279366,26.594843,36.214098,20.660096,24.498848,38.892279,19.240736,23.054199,40.769396,17.869766,21.646837,42.448448
1,47.881613,12.541757,6.063768,47.698626,14.113366,13.515145,45.396371,13.581819,17.837390,42.164393,12.323881,21.735076,38.390294,11.204843,25.403031,35.489085,10.279759,27.895141,33.116425,9.643508,29.879054,30.503115,8.866947,31.933011,27.957525,8.128099,33.870167,25.911601,7.600128,35.436206
1,11.490060,48.710442,7.833044,11.433550,49.207371,12.028065,10.358702,46.761721,17.630712,8.948791,42.497557,22.374613,8.002305,39.458548,25.041383,6.783852,36.163805,27.452803,5.523660,32.806225,29.603749,4.550636,30.107066,31.194937,3.830237,28.453421,31.913636,3.548723,27.834564,32.139100
1,47.868076,14.442196,8.444661,47.437793,15.251981,13.020018,44.914285,14.547676,18.364276,41.311616,13.887979,22.874868,37.742385,13.198047,26.628144,34.506501,12.314904,29.708034,31.495047,11.506366,32.425081,29.800364,10.810604,33.795821,29.199859,10.558489,34.263784,28.799194,10.388638,34.570695
1,35.982660,29.176960,11.066739,35.866844,29.833588,14.061886,35.081811,30.299499,16.873740,34.770156,30.129886,18.395270,34.674711,30.072720,18.780553,34.572361,30.009734,19.167729,34.463167,29.940978,19.556760,34.463167,29.940978,19.556760,34.463167,29.940978,19.556760,34.463167,29.940978,19.556760
1,10.462487,47.361486,4.982869,10.547556,47.805374,5.573054,10.687505,48.099117,6.069129,10.820017,48.361747,6.574562,11.123563,48.617852,7.288061,11.602444,48.890542,8.442126,12.052968,49.000923,9.560481,12.310890,49.005524,10.262443,12.470843,48.991044,10.942886,12.527163,48.958068,11.677227
1,47.896351,12.152069,5.743927,48.620615,12.442717,7.436798,48.964649,12.538110,9.405797,48.387570,12.617180,12.637725,47.042204,12.355883,15.433807,45.762913,12.064491,17.319138,45.052163,11.893219,18.230266,44.984590,11.876655,18.313328,44.984590,11.876655,18.313328,44.984590,11.876655,18.313328
1,9.724689,42.057898,23.253673,8.588022,38.634786,26.290279,7.329622,35.214189,28.888875,6.532388,32.532151,30.918521,5.653670,30.270594,32.338961,4.881826,27.981037,33.801656,4.094492,25.706987,35.129151,3.249397,23.471054,36.206427,2.835271,22.579449,36.464106,2.715462,22.280410,36.573022
1,34.187415,31.353022,12.425881,33.640667,32.047603,15.423141,32.837327,32.091279,18.558417,31.670778,31.750479,21.623533,30.618302,31.066721,24.157353,29.093928,29.762309,27.463430,27.276109,28.166032,30.813601,26.267148,26.793943,32.888943,24.799878,25.196981,35.359405,23.225964,23.800764,37.581605
1,15.889918,47.026219,9.856865,16.011366,47.231349,13.655499,15.444635,45.846389,18.240732,14.217680,42.990015,22.825322,12.927844,39.980190,26.342614,11.634856,37.678077,28.585800,10.264355,35.173849,30.713525,8.780769,32.206336,32.975420,7.315561,28.784838,35.422768,5.969319,26.459124,36.577422
1,42.937666,20.778956,8.510792,43.041885,20.845527,8.818958,43.181560,20.937352,9.286208,43.263449,20.993183,9.600979,43.289486,21.167985,10.100777,43.348342,21.213081,10.422244,43.408947,21.263284,10.827544,43.469418,21.322017,11.401294,43.495096,21.355698,11.815536,43.587330,21.287302,12.292108
1,36.363743,16.136863,28.138752,35.699357,15.969207,28.849880,35.259410,15.784672,29.320035,34.903709,15.634332,29.695012,34.309224,15.485626,30.308972,33.891720,15.409599,30.735424,32.829187,15.044700,31.808298,32.312369,14.915194,32.322745,31.752840,14.660495,32.869458,31.377595,14.488184,33.230971
1,17.540259,37.751852,27.992631,17.204015,37.373552,28.530127,16.948162,37.134474,28.874164,16.561427,36.871549,29.272117,16.343935,36.480311,29.744099,15.908611,36.116857,30.226859,15.599954,35.765962,30.651494,15.243038,35.323733,31.164444,15.011228,34.903085,31.624645,14.775917,34.477422,32.082210
1,47.434550,14.910494,8.049343,47.995410,14.720042,11.280741,47.004182,13.872752,15.190219,44.768888,13.129226,18.708606,42.802245,12.690445,21.073906,40.645717,12.343964,23.401963,37.323015,11.664551,26.660076,34.262648,10.972411,29.452685,32.929724,10.577603,30.586767,32.326005,10.355072,31.068960
1,15.545132,47.423359,10.544267,15.860208,47.377488,13.095779,15.765752,46.796221,15.864269,15.058325,45.739992,18.655244,14.120856,44.290716,21.159874,13.465031,42.954229,22.950635,12.620616,40.911375,25.294844,11.392084,38.213753,27.966418,9.964177,35.294961,30.461093,8.570090,32.284178,32.766551
1,46.797487,8.678750,2.621298,47.075468,8.926321,2.952999,47.343826,9.091607,3.263402,47.537541,9.318421,3.550988,47.786359,9.397277,3.843000,48.010860,9.553530,4.169947,48.229389,9.624524,4.471404,48.471086,9.704279,4.838742,48.655026,9.766175,5.149414,48.832975,9.741615,5.430614
2,11.797076,42.018422,23.944004,16.933383,38.880677,26.964321,25.628127,32.334503,28.293220,34.523443,23.205656,27.152297,38.477106,18.008579,25.418870,40.312694,15.602954,23.913797,41.012960,14.594541,23.209579,41.345585,13.997683,22.839607,41.779919,13.154746,22.295766,41.820642,13.071104,22.240434
2,1.311245,21.204935,35.049554,1.492992,21.191042,35.438808,1.676911,21.172774,35.825713,1.862943,21.150138,36.210090,2.145831,21.108012,36.781512,2.384964,21.065438,37.252580,2.586458,20.918010,37.749777,2.781459,20.873913,38.119136,3.027677,20.812785,38.575651,3.276524,20.745023,39.026044
2,13.446786,48.082406,14.628043,16.360568,46.538520,15.796984,20.111157,43.966415,16.772816,23.324968,41.385033,17.220122,26.269741,38.713908,17.684380,28.439375,36.479649,18.407988,31.002500,33.766210,19.017084,33.766810,30.832320,19.248843,36.345985,27.839302,19.572779,37.493603,26.462646,19.629609
2,10.999349,39.519414,26.480121,12.803069,39.231622,27.140952,15.429642,38.463537,27.832249,18.201534,37.369208,28.135057,21.153353,36.033431,27.926154,23.818595,34.494852,27.564118,26.674339,32.694884,26.863172,29.421241,30.749304,26.029353,31.934486,28.829087,25.121235,34.895723,26.661159,23.600269
2,15.466673,47.563356,13.309254,18.714513,45.362323,15.049220,22.269173,42.392153,16.661859,25.402215,39.418257,17.884827,28.136876,36.586969,18.880305,30.427669,34.036861,19.705700,32.683069,31.458122,20.293730,35.078374,28.684650,20.605403,36.925319,26.310706,20.915330,38.712498,24.009159,20.895608
2,14.446050,48.136450,11.162233,16.664903,46.908749,11.910441,20.033870,44.559476,12.720895,23.631367,41.616570,13.680512,26.488069,39.043176,14.617073,28.753775,36.881471,15.207350,31.115124,34.530852,15.792314,33.459313,32.127425,16.171858,36.369804,29.080602,16.266560,39.355127,25.715080,16.480690
2,12.547132,41.699822,24.404124,15.179519,40.018088,26.162332,17.750819,37.903761,27.740037,20.709143,35.595286,28.704213,23.810666,33.306088,28.872082,27.474002,30.563592,28.342536,30.544144,28.097715,27.525765,33.599921,25.392165,26.495610,36.757295,22.484792,25.023927,39.667597,19.690642,23.231901
2,11.011520,42.668434,23.029150,15.286371,40.241679,25.888286,19.925057,36.940901,27.703919,24.047944,33.396452,28.575083,27.834902,29.164307,29.360708,31.685548,24.160502,29.594310,33.700075,21.528280,29.118054,34.228815,20.906022,28.880802,34.303377,20.817254,28.845643,34.303377,20.817254,28.845643
